Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
8888, 0, 254, 15, -4000, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 175, 3, -4000, FOUR_OF_A_KIND, 6, NORMAL
2222, 3580, 600, 4, -420, THREE_OF_A_KIND, 1, NORMAL
3333, 1700, 600, 3, -2300, STRAIGHT, 2, NORMAL
4444, 0, 104, 3, -4000, THREE_OF_A_KIND, 7, NORMAL
5555, 20, 477, 2, -3980, ONE_PAIR, 3, NORMAL
6666, 0, 430, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 20, 398, 5, -3980, STRAIGHT, 5, NORMAL
8888, 0, 74, 3, -4000, ONE_PAIR, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 532, 0, -3980, NULL, 3, NORMAL
2222, 0, 530, 0, -4000, NULL, 6, NORMAL
3333, 0, 529, 0, -4000, NULL, 8, NORMAL
4444, 20, 529, 0, -3980, NULL, 7, NORMAL
5555, 20, 533, 0, -3980, NULL, 2, NORMAL
6666, 0, 531, 0, -4000, NULL, 5, NORMAL
7777, 20, 531, 0, -3980, NULL, 4, NORMAL
8888, 10240, 533, 0, 6240, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
4444, 0, 6, 6, -4000, FULL_HOUSE, 3, NORMAL
5555, 32000, 87, 11, 28000, FULL_HOUSE, 1, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
8888, 0, 87, 5, -4000, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 4861, 600, 600, 861, STRAIGHT_FLUSH, 3, NORMAL
2222, 4202, 600, 600, 202, STRAIGHT_FLUSH, 5, NORMAL
3333, 5868, 600, 600, 1868, FULL_HOUSE, 2, NORMAL
4444, 2115, 600, 600, -1885, FULL_HOUSE, 7, NORMAL
5555, 3197, 600, 600, -803, FOUR_OF_A_KIND, 6, NORMAL
6666, 4338, 600, 600, 338, FOUR_OF_A_KIND, 4, NORMAL
7777, 6672, 600, 600, 2672, STRAIGHT_FLUSH, 1, NORMAL
8888, 746, 600, 66, -3254, FULL_HOUSE, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 4, 4, -4000, STRAIGHT, 6, NORMAL
2222, 20, 361, 38, -3980, FLUSH, 2, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
4444, 31960, 361, 66, 27960, FULL_HOUSE, 1, NORMAL
5555, 0, 3, 3, -4000, STRAIGHT, 7, NORMAL
6666, 0, 11, 3, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 5, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 20, 290, 22, -3980, STRAIGHT, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 324, 3, -4000, THREE_OF_A_KIND, 7, NORMAL
2222, 20, 425, 3, -3980, TWO_PAIR, 4, NORMAL
3333, 0, 380, 6, -4000, TWO_PAIR, 5, NORMAL
4444, 11380, 600, 18, 7380, FLUSH, 1, NORMAL
5555, 20, 111, 2, -3980, ONE_PAIR, 8, NORMAL
6666, 20, 490, 4, -3980, THREE_OF_A_KIND, 3, NORMAL
7777, 0, 331, 4, -4000, STRAIGHT, 6, NORMAL
8888, 1200, 600, 22, -2800, FLUSH, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 530, 0, -4000, NULL, 7, NORMAL
2222, 0, 529, 0, -4000, NULL, 8, NORMAL
3333, 0, 532, 0, -4000, NULL, 3, NORMAL
4444, 20, 533, 0, -3980, NULL, 2, NORMAL
5555, 0, 531, 0, -4000, NULL, 5, NORMAL
6666, 20, 531, 0, -3980, NULL, 4, NORMAL
7777, 20, 530, 0, -3980, NULL, 6, NORMAL
8888, 10400, 533, 0, 6400, NULL, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 4, 4, -4000, FLUSH, 3, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
4444, 32000, 51, 7, 28000, STRAIGHT, 1, NORMAL
5555, 0, 2, 2, -4000, TWO_PAIR, 4, NORMAL
6666, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 4, NORMAL
8888, 0, 51, 3, -4000, ONE_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 7775, 600, 600, 3775, STRAIGHT_FLUSH, 2, NORMAL
2222, 9991, 600, 600, 5991, FOUR_OF_A_KIND, 1, NORMAL
3333, 3543, 600, 600, -457, FOUR_OF_A_KIND, 5, NORMAL
4444, 4148, 600, 600, 148, FULL_HOUSE, 4, NORMAL
5555, 1104, 600, 600, -2896, FOUR_OF_A_KIND, 6, NORMAL
6666, 23, 526, 526, -3977, FOUR_OF_A_KIND, 7, NORMAL
7777, 5395, 600, 600, 1395, FOUR_OF_A_KIND, 3, NORMAL
8888, 20, 515, 50, -3980, FULL_HOUSE, 8, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 31980, 321, 43, 27980, STRAIGHT, 1, NORMAL
2222, 20, 321, 28, -3980, FLUSH, 2, NORMAL
3333, 0, 4, 4, -4000, ONE_PAIR, 6, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 7, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 7, NORMAL
6666, 0, 31, 3, -4000, THREE_OF_A_KIND, 4, NORMAL
7777, 0, 8, 3, -4000, TWO_PAIR, 5, NORMAL
