Pid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
7777, 0, 2, 2, -4000, ONE_PAIR, 6, NORMAL
8888, 0, 32, 4, -4000, STRAIGHT, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 500, 0, -3980, NULL, 6, NORMAL
2222, 0, 501, 0, -4000, NULL, 5, NORMAL
3333, 20, 503, 0, -3980, NULL, 2, NORMAL
4444, 20, 501, 0, -3980, NULL, 4, NORMAL
5555, 0, 500, 0, -4000, NULL, 7, NORMAL
6666, 20, 502, 0, -3980, NULL, 3, NORMAL
7777, 0, 298, 3, -4000, TWO_PAIR, 8, NORMAL
8888, 8860, 503, 3, 4860, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 23160, 498, 6, 19160, FULL_HOUSE, 1, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
3333, 0, 45, 15, -4000, STRAIGHT, 4, NORMAL
4444, 0, 89, 5, -4000, STRAIGHT, 3, NORMAL
5555, 0, 19, 4, -4000, TWO_PAIR, 7, NORMAL
6666, 0, 21, 3, -4000, TWO_PAIR, 6, NORMAL
7777, 20, 498, 4, -3980, THREE_OF_A_KIND, 2, NORMAL
8888, 0, 37, 2, -4000, TWO_PAIR, 5, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
2222, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
3333, 20, 369, 0, -3980, NULL, 2, NORMAL
4444, 0, 2, 2, -4000, TWO_PAIR, 6, NORMAL
5555, 0, 3, 3, -4000, FULL_HOUSE, 5, NORMAL
6666, 31980, 369, 10, 27980, FULL_HOUSE, 1, NORMAL
7777, 0, 11, 6, -4000, STRAIGHT, 4, NORMAL
8888, 0, 40, 2, -4000, ONE_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
2222, 0, 27, 3, -4000, STRAIGHT, 3, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
4444, 0, 212, 18, -4000, FLUSH, 2, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
6666, 0, 18, 4, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 32000, 212, 10, 28000, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 161, 6, -4000, FULL_HOUSE, 5, NORMAL
2222, 23980, 310, 8, 19980, THREE_OF_A_KIND, 1, NORMAL
3333, 20, 310, 0, -3980, NULL, 2, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
5555, 20, 207, 7, -3980, FOUR_OF_A_KIND, 4, NORMAL
6666, 0, 59, 3, -4000, FULL_HOUSE, 6, NORMAL
7777, 0, 29, 6, -4000, FLUSH, 7, NORMAL
8888, 0, 257, 8, -4000, TWO_PAIR, 3, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 58, 23, -4000, FULL_HOUSE, 3, NORMAL
2222, 24400, 560, 10, 20400, STRAIGHT, 1, NORMAL
3333, 0, 2, 2, -4000, ONE_PAIR, 7, NORMAL
4444, 0, 4, 4, -4000, STRAIGHT, 5, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 7, NORMAL
6666, 0, 10, 3, -4000, ONE_PAIR, 4, NORMAL
7777, 0, 4, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 20, 560, 8, -3980, FULL_HOUSE, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 501, 0, -3980, NULL, 2, NORMAL
2222, 20, 500, 0, -3980, NULL, 3, NORMAL
3333, 20, 499, 0, -3980, NULL, 5, NORMAL
4444, 0, 499, 0, -4000, NULL, 6, NORMAL
5555, 0, 500, 0, -4000, NULL, 4, NORMAL
6666, 0, 498, 0, -4000, NULL, 7, NORMAL
7777, 0, 281, 3, -4000, TWO_PAIR, 8, NORMAL
8888, 8940, 501, 3, 4940, TWO_PAIR, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 44, 2, -4000, FULL_HOUSE, 5, NORMAL
2222, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
3333, 0, 15, 6, -4000, FULL_HOUSE, 7, NORMAL
4444, 0, 127, 7, -4000, FULL_HOUSE, 3, NORMAL
5555, 0, 124, 4, -4000, FULL_HOUSE, 4, NORMAL
6666, 20, 17, 4, -3980, FULL_HOUSE, 6, NORMAL
7777, 0, 336, 4, -4000, FULL_HOUSE, 2, NORMAL
8888, 24300, 336, 9, 20300, FULL_HOUSE, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
2222, 30140, 600, 85, 26140, FLUSH, 1, NORMAL
3333, 20, 200, 0, -3980, NULL, 3, NORMAL
4444, 0, 4, 4, -4000, THREE_OF_A_KIND, 4, NORMAL
5555, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
6666, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
7777, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
8888, 1840, 600, 81, -2160, FOUR_OF_A_KIND, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
2222, 0, 23, 2, -4000, ONE_PAIR, 3, NORMAL
3333, 0, 2, 2, -4000, TWO_PAIR, 5, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
5555, 32000, 48, 9, 28000, STRAIGHT, 1, NORMAL
6666, 0, 6, 2, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 2, 2, -4000, ONE_PAIR, 5, NORMAL
8888, 0, 48, 5, -4000, TWO_PAIR, 2, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 44, 2, -4000, THREE_OF_A_KIND, 6, NORMAL
2222, 24420, 355, 10, 20420, FULL_HOUSE, 1, NORMAL
3333, 20, 355, 0, -3980, NULL, 2, NORMAL
4444, 0, 2, 2, -4000, ONE_PAIR, 8, NORMAL
5555, 0, 80, 7, -4000, TWO_PAIR, 5, NORMAL
6666, 0, 152, 9, -4000, TWO_PAIR, 3, NORMAL
7777, 0, 24, 10, -4000, FLUSH, 7, NORMAL
8888, 0, 142, 3, -4000, STRAIGHT, 4, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 0, 3, 3, -4000, STRAIGHT, 6, NORMAL
2222, 0, 25, 3, -4000, TWO_PAIR, 3, NORMAL
3333, 0, 3, 3, -4000, STRAIGHT, 6, NORMAL
4444, 0, 3, 3, -4000, STRAIGHT, 6, NORMAL
5555, 0, 7, 6, -4000, STRAIGHT, 5, NORMAL
6666, 0, 16, 3, -4000, TWO_PAIR, 4, NORMAL
7777, 0, 172, 11, -4000, STRAIGHT, 2, NORMAL
8888, 31620, 172, 7, 27620, STRAIGHT, 1, NORMALPid, Money, HandNum, ShowDownNum, NetWin, NutHand, Rank, Status
1111, 20, 522, 0, -3980, NULL, 5, NORMAL
2222, 20, 524, 0, -3980, NULL, 2, NORMAL
3333, 0, 521, 0, -4000, NULL, 7, NORMAL
